rank,source,enemy_id,tempno,name,total140,avg_score,avg_net,vs_earth_score,vs_earth_net,vs_water_score,vs_water_net,vs_fire_score,vs_fire_net,vs_wind_score,vs_wind_net,script,floor,floors
1,task_getpet,1691,853,柯黑穆肯,10955,4382,0.39999999999999997,4382,0.39999999999999997,4382,0.39999999999999997,4382,0.39999999999999997,4382,0.39999999999999997,genout/msg_116_37_20,116,116
2,capture_lv1,,145,萨德迪比,2999,3535,1.1787600061576355,1324,0.4413793103448275,3280,1.09375,6795,2.2656250000000004,2742,0.9142857142857144,,,41
3,task_getpet,2258,933,菲奇亚,2853,3495,1.225,2853,1.0,1141,0.39999999999999997,2853,1.0,7132,2.5,genout/msg_116_37_20,116,116
4,capture_lv1,,801,摩米索拉,2726,3339,1.225,2726,1.0,6815,2.5,2726,1.0,1090,0.39999999999999997,,,7025
5,capture_lv1,,118,萨法莱欧,2908,3327,1.1441384063506828,1412,0.4857142857142857,2432,0.8363636363636363,5987,2.058823529411765,3477,1.1956521739130435,,,7025
6,task_getpet,2575,205,扬奇洛斯,2716,3327,1.225,1086,0.39999999999999997,2716,1.0,6790,2.5,2716,1.0,genout/msg_116_37_20,116,116
7,capture_lv1,,1096,罗特克拉,2676,3278,1.225,1070,0.39999999999999997,2676,1.0,6690,2.5,2676,1.0,,,817
8,capture_lv1,,146,萨德斯凯,2752,3244,1.1787600061576358,3010,1.09375,1215,0.4413793103448275,2516,0.9142857142857144,6235,2.2656250000000004,,,42
9,task_getpet,2576,206,邦奇诺,2643,3238,1.225,2643,1.0,1057,0.39999999999999997,2643,1.0,6608,2.5,genout/msg_116_37_20,116,116
10,capture_lv1,,1111,洛安奇,2744,3234,1.1787600061576355,3001,1.09375,6217,2.2656250000000004,2509,0.9142857142857144,1211,0.4413793103448275,,,8003
11,task_getpet,2574,204,利则诺顿,2629,3220,1.225,2629,1.0,6572,2.5,2629,1.0,1052,0.39999999999999997,genout/msg_116_37_20,116,116
12,capture_lv1,,1112,洛斯克,2716,3202,1.1787600061576355,1199,0.4413793103448275,2971,1.09375,6153,2.2656250000000004,2483,0.9142857142857144,,,7025
13,capture_lv1,,814,邦司凉朵,2604,3190,1.225,1042,0.39999999999999997,2604,1.0,6510,2.5,2604,1.0,,,7025
14,task_getpet,1802,908,莫拉司,2820,3159,1.1200922266139657,1504,0.5333333333333333,2158,0.7652173913043477,5288,1.875,3685,1.3068181818181819,scipt_plus/new_shuiguai/yuanzhang,60212,60212
15,capture_lv1,,148,弗丽雅,2654,3128,1.1787600061576355,2427,0.9142857142857144,6013,2.2656250000000004,2903,1.09375,1171,0.4413793103448275,,,7025
16,capture_lv1,,36,史卡皮克,2647,3120,1.1787600061576355,1168,0.4413793103448275,2420,0.9142857142857144,5997,2.2656250000000004,2895,1.09375,,,7025
17,capture_lv1,,791,里昂蛙,2532,3102,1.225,2532,1.0,6330,2.5,2532,1.0,1013,0.39999999999999997,,,30693
18,capture_lv1,,1117,欧西摩米,2632,3102,1.1787600061576355,1162,0.4413793103448275,2406,0.9142857142857144,5963,2.2656250000000004,2879,1.09375,,,7025
19,task_getpet,1624,791,里昂蛙,2532,3102,1.225,2532,1.0,6330,2.5,2532,1.0,1013,0.39999999999999997,genout/msg_116_37_20,116,116
20,capture_lv1,,38,史卡皮顿,2618,3086,1.1787600061576355,5931,2.2656250000000004,2394,0.9142857142857144,1156,0.4413793103448275,2863,1.09375,,,7025
21,capture_lv1,,117,贝里莱欧,2675,3060,1.1441384063506828,2237,0.8363636363636363,5507,2.058823529411765,3198,1.1956521739130435,1299,0.4857142857142857,,,7025
22,capture_lv1,,1114,特雷吉洛,2495,3056,1.225,998,0.39999999999999997,2495,1.0,6238,2.5,2495,1.0,,,7025
23,capture_lv1,,179,莱恩洛克,2669,3054,1.1441384063506828,2232,0.8363636363636363,5495,2.058823529411765,3191,1.1956521739130435,1296,0.4857142857142857,,,7025
24,capture_lv1,,120,多帕莱欧,2661,3045,1.1441384063506825,5479,2.058823529411765,3182,1.1956521739130435,1292,0.4857142857142857,2226,0.8363636363636363,,,7025
